group,metric,n_files,original_mean_over_files,bootstrap_mean_of_averages,bootstrap_std_of_averages,bootstrap_ci_2_5,bootstrap_ci_97_5
all,expected_speakers,73,2.465753,2.462945,0.059645,2.356164,2.575342
all,duration_seconds,73,227.971767,228.097373,16.275194,199.242333,259.191915
all,global_rms,73,0.056708,0.056779,0.002933,0.051303,0.062581
all,speech_coverage,73,0.972408,0.972363,0.004452,0.962817,0.980214
all,detected_speakers,73,2.383562,2.38037,0.064493,2.260274,2.506849
all,DER_percent,73,21.528219,21.43683,6.373611,12.72786,36.050236
all,speech_precision,73,0.940811,0.941199,0.012736,0.913757,0.961906
all,speech_recall,73,0.994732,0.994709,0.001469,0.991559,0.99728
all,speaker_accuracy_overlap,73,0.903107,0.902702,0.015621,0.870163,0.930996
all,speaker_accuracy_reference,73,0.898296,0.89787,0.015603,0.866412,0.926829
all,pause_detection_accuracy,73,0.300762,0.300821,0.031249,0.239457,0.363116
all,missed_speech_seconds,73,0.990411,0.997186,0.238004,0.583459,1.511164
all,false_alarm_seconds,73,10.8,10.795927,1.996351,7.358048,14.942603
all,speaker_confusion_seconds,73,21.257534,21.391944,4.332742,13.761781,30.502466
all,diarization_error_seconds,73,33.047945,33.185058,5.343934,23.630479,44.079623
all,silhouette_score,73,0.409707,0.409637,0.011243,0.38767,0.430478
all,cluster_balance_ratio,73,0.256473,0.257516,0.03332,0.194774,0.324175
all,speaker_switches,73,8.876712,8.881712,1.051384,7.013014,10.946233
all,segment_smoothness,73,0.957229,0.957298,0.003949,0.949395,0.964305
all,mean_segment_duration_seconds,73,24.878534,24.916181,1.811017,21.415257,28.597623
all,pitch_mean_hz,73,194.452616,194.563217,7.636782,180.704187,210.665458
all,pitch_min_hz,73,74.198753,74.300967,2.284004,70.045005,78.887102
all,pitch_max_hz,73,722.214849,721.539299,44.792388,634.413656,815.280622
all,spectral_centroid_mean,73,1731.012753,1731.908295,30.612494,1674.103798,1791.524366
all,spectral_centroid_std,73,890.559292,890.886238,20.484732,850.739227,932.81925
all,F1_median_hz,73,684.373117,684.442878,16.774079,654.664112,719.088103
all,F2_median_hz,73,2053.8641,2054.666668,19.692435,2015.436436,2092.651691
all,F3_median_hz,73,3235.388995,3235.924113,25.204566,3188.525972,3286.877626
all,jitter_local_percent,73,4.364317,4.363997,0.079282,4.20933,4.518333
all,shimmer_local_percent,73,17.479139,17.484656,0.246076,16.967489,17.961973
all,HNR_db,73,-1.911077,-1.910518,0.175243,-2.232898,-1.563795
all,speaking_rate_proxy_per_minute,73,161.176996,161.117059,2.568845,155.875356,165.870172
all,voice_onset_time_proxy_median_ms,73,35.726027,35.482301,7.071245,23.232877,51.29863
all,runtime_seconds,73,629.571678,629.478599,48.743816,542.649376,729.021594
2_speakers,expected_speakers,39,2.0,2.0,0.0,2.0,2.0
2_speakers,duration_seconds,39,210.157,210.25275,23.352158,166.476714,257.019832
2_speakers,global_rms,39,0.057225,0.056974,0.004333,0.049044,0.066073
2_speakers,speech_coverage,39,0.972985,0.973148,0.006818,0.958519,0.984003
2_speakers,detected_speakers,39,1.948718,1.946256,0.035628,1.871795,2.0
2_speakers,DER_percent,39,15.897436,15.925284,3.073603,9.97391,22.051026
2_speakers,speech_precision,39,0.946172,0.946234,0.010991,0.923407,0.965938
2_speakers,speech_recall,39,0.997123,0.997092,0.001049,0.994907,0.998816
2_speakers,speaker_accuracy_overlap,39,0.907113,0.906812,0.023313,0.860649,0.949181
2_speakers,speaker_accuracy_reference,39,0.904554,0.904227,0.023345,0.85739,0.947679
2_speakers,pause_detection_accuracy,39,0.327446,0.327091,0.044845,0.246473,0.423811
2_speakers,missed_speech_seconds,39,0.776923,0.788067,0.315817,0.274295,1.459103
2_speakers,false_alarm_seconds,39,10.712821,10.632762,2.630972,6.150962,16.379679
2_speakers,speaker_confusion_seconds,39,23.748718,23.8983,7.504863,11.517756,39.915064
2_speakers,diarization_error_seconds,39,35.238462,35.319128,8.946402,20.039936,54.451538
2_speakers,silhouette_score,39,0.445235,0.445581,0.014918,0.416749,0.47454
2_speakers,cluster_balance_ratio,39,0.353987,0.356994,0.048915,0.268041,0.452208
2_speakers,speaker_switches,39,5.0,4.983256,0.774997,3.589744,6.615385
2_speakers,segment_smoothness,39,0.972403,0.972445,0.003108,0.965984,0.977942
2_speakers,mean_segment_duration_seconds,39,30.751179,30.743913,2.948833,25.231189,36.982717
2_speakers,pitch_mean_hz,39,191.287487,191.402025,9.648547,174.431163,211.410949
2_speakers,pitch_min_hz,39,76.306179,76.272339,3.667639,69.772516,84.192444
2_speakers,pitch_max_hz,39,703.908872,705.100599,62.752232,588.057213,839.952978
2_speakers,spectral_centroid_mean,39,1722.291411,1722.203975,45.648109,1634.617302,1813.969262
2_speakers,spectral_centroid_std,39,895.475995,895.62585,26.396086,843.047093,944.51795
2_speakers,F1_median_hz,39,679.489054,679.092812,24.045431,634.4026,727.464178
2_speakers,F2_median_hz,39,2047.516935,2046.617692,25.95943,1998.817204,2100.720219
2_speakers,F3_median_hz,39,3221.558886,3220.647368,31.325922,3159.207116,3280.828429
2_speakers,jitter_local_percent,39,4.275345,4.271636,0.114387,4.061032,4.505927
2_speakers,shimmer_local_percent,39,17.655135,17.640605,0.309933,17.061736,18.272846
2_speakers,HNR_db,39,-1.784488,-1.781804,0.256344,-2.298855,-1.289582
2_speakers,speaking_rate_proxy_per_minute,39,161.199404,161.202434,3.334443,154.73889,167.377791
2_speakers,voice_onset_time_proxy_median_ms,39,27.076923,27.12,4.850643,18.051282,37.353846
2_speakers,runtime_seconds,39,575.805397,576.75565,70.101086,450.143603,716.414455
3_speakers,expected_speakers,34,3.0,3.0,0.0,3.0,3.0
3_speakers,duration_seconds,34,248.406353,247.360108,23.785561,199.663293,294.219821
3_speakers,global_rms,34,0.056116,0.056186,0.003727,0.049012,0.063495
3_speakers,speech_coverage,34,0.971747,0.97174,0.006224,0.95862,0.983299
3_speakers,detected_speakers,34,2.882353,2.884147,0.056887,2.764706,2.970588
3_speakers,DER_percent,34,27.987059,27.961588,12.919229,11.793934,56.105007
3_speakers,speech_precision,34,0.934662,0.934775,0.023379,0.881651,0.969548
3_speakers,speech_recall,34,0.991988,0.992025,0.00299,0.98571,0.997006
3_speakers,speaker_accuracy_overlap,34,0.898512,0.898604,0.019456,0.857413,0.933146
3_speakers,speaker_accuracy_reference,34,0.891118,0.89124,0.019154,0.849663,0.925578
3_speakers,pause_detection_accuracy,34,0.270153,0.27121,0.040746,0.199264,0.352501
3_speakers,missed_speech_seconds,34,1.235294,1.231024,0.372451,0.596985,2.015368
3_speakers,false_alarm_seconds,34,10.9,10.831074,2.914913,5.961618,17.324338
3_speakers,speaker_confusion_seconds,34,18.4,18.241126,3.703241,11.470588,25.879706
3_speakers,diarization_error_seconds,34,30.535294,30.303224,5.164439,21.060882,41.522353
3_speakers,silhouette_score,34,0.371044,0.371743,0.01418,0.345252,0.399636
3_speakers,cluster_balance_ratio,34,0.144618,0.144301,0.026202,0.098299,0.198529
3_speakers,speaker_switches,34,13.323529,13.239412,1.821097,9.881618,17.029412
3_speakers,segment_smoothness,34,0.939824,0.939954,0.006762,0.924862,0.951554
