file_id,expected_speakers,duration_seconds,global_rms,speech_coverage,detected_speakers,DER_percent,speech_precision,speech_recall,speaker_accuracy_overlap,speaker_accuracy_reference,pause_detection_accuracy,missed_speech_seconds,false_alarm_seconds,speaker_confusion_seconds,diarization_error_seconds,silhouette_score,cluster_balance_ratio,speaker_switches,segment_smoothness,mean_segment_duration_seconds,pitch_mean_hz,pitch_min_hz,pitch_max_hz,spectral_centroid_mean,spectral_centroid_std,F1_median_hz,F2_median_hz,F3_median_hz,jitter_local_percent,shimmer_local_percent,HNR_db,speaking_rate_proxy_per_minute,voice_onset_time_proxy_median_ms,runtime_seconds
akthc,2,114.521,0.058569,0.933,2,3.29,0.9786,0.9887,1.0,0.9887,0.7195,1.2,2.3,0.0,3.5,0.4147,0.1954,1,0.9903,17.808,258.37,150.264,802.316,2163.50007,1209.60222,711.792169,2167.539098,3193.536121,4.788719,18.612528,-3.798402,165.056998,0.0,343.2873
ampme,3,148.32,0.050048,0.8777,3,6.87,0.9771,0.9573,0.9962,0.9537,0.6931,5.9,3.1,0.5,9.5,0.3362,0.0467,3,0.9762,12.209,189.806,77.782,850.024,1583.0333,845.92491,622.247832,2110.573343,3088.996077,5.003965,22.211504,-4.148228,145.868905,0.0,375.2923
asxwr,3,237.767,0.039366,0.9945,3,1.95,0.9983,0.9996,0.9826,0.9822,0.7143,0.1,0.4,4.1,4.6,0.4635,0.3388,6,0.9744,33.779,193.089,65.406,900.569,1456.13178,776.89821,614.0922,1898.263016,2968.429529,4.484611,18.259701,-2.746533,184.731474,32.0,721.1106
aufkn,3,181.488,0.057042,0.9728,2,8.97,0.9801,0.9752,0.9537,0.93,0.186,4.4,3.5,8.0,15.9,0.3534,0.0357,3,0.9827,35.203,168.948,65.406,405.819,1329.75806,744.68665,746.637744,2352.754126,3748.40509,4.800656,16.110518,0.38233,150.477707,0.0,574.4681
bkwns,2,67.656,0.046471,0.9966,2,40.37,0.7219,1.0,0.9816,0.9816,0.0053,0.0,18.8,0.9,19.7,0.5088,0.4889,1,0.9848,33.712,200.956,65.406,2045.2,1806.66094,670.40149,768.865729,2002.99046,3380.74121,3.474096,14.043977,1.016435,174.418605,48.0,214.4935
blwmj,2,259.161,0.047055,0.9997,2,3.38,0.9819,1.0,0.9847,0.9847,0.0,0.0,4.7,3.9,8.6,0.5458,0.6497,13,0.9496,18.505,182.112,65.406,694.434,1824.90397,1163.94144,605.734874,2075.991387,3224.684721,4.357412,14.998425,-1.308498,178.914921,0.0,871.5573
bravd,3,395.88,0.097193,1.0,3,17.66,0.9795,1.0,0.8442,0.8442,0.0,0.0,8.1,60.4,68.5,0.2588,0.0414,29,0.9264,13.196,154.544,65.406,618.67,1636.25845,747.21081,561.957335,2234.121825,3378.28425,4.930284,17.477413,-2.37312,153.209515,32.0,1072.8426
bspxd,3,336.36,0.053569,0.9882,3,17.25,0.9808,0.9969,0.8496,0.847,0.2809,1.0,6.4,49.1,56.5,0.3462,0.0546,34,0.8963,8.983,196.595,65.406,625.859,1595.44564,825.44363,620.359012,1988.79793,3384.686857,5.324031,17.503094,-1.836968,183.050357,32.0,879.6752
bydui,3,280.392,0.067489,0.9988,3,3.26,0.9954,0.9993,0.9728,0.9721,0.0,0.2,1.3,7.6,9.1,0.5014,0.3701,13,0.9534,20.005,168.113,65.406,1005.032,1642.08389,972.07222,660.674382,1971.110084,3169.18818,4.289776,17.742802,-3.598885,165.507355,32.0,727.5133
cobal,2,75.888,0.036265,0.9985,2,0.92,1.0,1.0,0.9908,0.9908,1.0,0.0,0.0,0.7,0.7,0.4042,0.1194,2,0.973,25.259,174.849,87.813,337.332,2151.41342,947.89827,1103.332864,2280.989834,3419.344568,4.576386,21.637278,-5.233505,168.854033,32.0,200.7811
crixb,2,300.264,0.10566,0.9985,2,11.06,0.946,0.9993,0.9471,0.9465,0.0122,0.2,16.2,15.0,31.4,0.3443,0.8562,20,0.9324,14.277,130.292,65.406,283.661,1694.8186,847.00982,744.89548,2247.245148,3264.947563,4.373941,18.677683,-3.78453,163.585209,32.0,796.3483
djngn,2,172.617,0.053229,0.9749,2,2.18,0.981,1.0,0.9976,0.9976,0.5556,0.0,3.2,0.4,3.6,0.5321,0.4188,6,0.9636,24.041,144.544,65.406,374.294,1335.99606,776.25453,570.978629,1798.690936,2829.333053,3.783304,16.739609,-2.343775,170.553936,0.0,445.4679
djqif,3,484.704,0.053526,0.9576,3,5.25,0.9633,0.9938,0.9915,0.9854,0.4865,2.8,17.1,3.8,23.7,0.525,0.1018,25,0.9449,17.852,178.45,65.406,774.986,1758.67479,1077.38826,620.419173,1934.794324,3152.454347,3.702483,17.93383,-1.320918,166.214751,0.0,1234.3104
dscgs,2,207.83,0.047524,0.9425,2,9.41,0.9838,0.9649,0.9554,0.9218,0.4576,7.1,3.2,8.7,19.0,0.4058,0.8641,14,0.9267,9.387,193.0,89.348,496.744,1316.14558,733.69768,581.560628,1812.869539,3067.475986,3.467043,19.400383,-0.5484,87.890592,0.0,464.6253
ehpau,3,155.376,0.037808,0.9774,3,13.57,0.9599,0.9959,0.9097,0.9059,0.2989,0.6,6.1,13.2,19.9,0.3809,0.1759,9,0.9392,12.656,259.28,65.406,993.489,1513.95229,612.24221,652.03945,1935.171698,3110.289568,5.299195,20.808168,-4.574168,167.329429,32.0,390.073
eqttu,2,161.112,0.028932,1.0,2,0.5,0.9988,1.0,0.9963,0.9963,0.0,0.0,0.2,0.6,0.8,0.5183,0.5784,4,0.975,32.222,178.25,68.897,496.744,1575.54595,981.38018,540.286519,2040.716006,3348.701058,4.751891,18.50145,-2.181429,180.937089,32.0,424.9733
